Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
90954435,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
90954694,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
90954943,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
90955200,00000596,false,Rx,0,8,2D,80,00,00,5B,00,17,18,
90955460,00000597,false,Rx,0,8,01,E6,00,00,00,00,00,00,
90955720,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
90955989,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
90956258,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
90956519,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
90956768,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
90957016,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
90957267,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,25,CC,
90957527,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
90957785,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
91053148,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
91053403,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
91053662,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
91053922,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
91054181,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
91054441,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
91054701,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
91054949,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
91055219,00000596,false,Rx,0,8,38,80,00,00,5B,00,17,18,
91055460,00000597,false,Rx,0,8,81,E6,00,00,00,00,00,00,
91055719,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
91055988,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
91056258,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
91056518,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
91056766,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
91057016,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
91057265,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,25,CC,
91057525,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
91057785,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
91153147,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
91153403,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
91153662,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
91153922,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
91154181,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
91154440,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
91154690,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
91154949,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
91155216,00000596,false,Rx,0,8,3A,80,00,00,5B,00,17,18,
